index,prediction,truth
143,BEG BEG a ball ball dark BEG BEG BEG,fetch a tiny green neutral ball
230,BEG a ball dark BEG BEG BEG BEG BEG,fetch a medium neutral grey ball
822,BEG a ball dark BEG BEG BEG BEG BEG,fetch a medium blue light key
884,a ball dark BEG BEG BEG BEG BEG a,you must fetch a neutral giant red ball
928,BEG BEG a ball ball dark BEG BEG BEG,get a giant green neutral key
1956,BEG BEG BEG a ball ball dark BEG BEG,get a blue giant neutral ball
3141,BEG BEG a ball ball dark BEG BEG BEG,go fetch a neutral small blue key
3312,BEG BEG a ball ball dark BEG BEG BEG,go get a dark giant purple key
3538,BEG BEG a ball ball dark BEG BEG BEG,fetch a green large very_light ball
3595,BEG BEG BEG a ball ball dark BEG BEG,you must fetch a purple small light key
4063,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a purple very_dark giant key
4169,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a giant light green ball
5459,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a very_light large grey ball
5663,BEG BEG a ball ball dark BEG BEG BEG,fetch a small grey dark key
5704,a ball dark BEG BEG BEG BEG BEG a,go get a medium purple very_dark ball
5845,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a very_light green giant key
6024,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a purple giant very_light key
6416,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a dark medium yellow ball
6532,BEG BEG a ball ball dark BEG BEG BEG,go get a dark medium grey key
6629,BEG BEG a ball ball dark BEG BEG BEG,go get a dark green medium ball
7737,BEG BEG a ball ball dark BEG BEG BEG,go get a giant very_light red key
8525,BEG BEG a ball ball dark BEG BEG BEG,fetch a very_dark purple giant ball
8853,BEG BEG a ball ball dark BEG BEG BEG,get a blue dark tiny ball
9911,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a blue neutral small key
10541,BEG BEG a ball ball dark BEG BEG BEG,go fetch a dark giant purple key
10593,BEG a ball dark BEG BEG BEG BEG BEG,fetch a light red small key
10703,BEG BEG BEG a ball ball dark BEG BEG,fetch a red very_dark large key
12947,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a giant neutral purple key
12992,a green grey medium blue key medium medium blue,get a purple giant neutral ball
13028,BEG BEG BEG a ball ball dark BEG BEG,go get a tiny yellow very_dark ball
13169,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a very_light purple giant key
13230,BEG a ball dark BEG BEG BEG BEG BEG,get a giant dark purple key
13454,a ball dark BEG BEG BEG BEG BEG a,go get a medium green dark key
13600,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a small neutral grey ball
13641,BEG BEG a ball ball dark BEG BEG BEG,go get a very_dark yellow large ball
13900,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a medium red very_dark key
13961,BEG BEG a ball ball dark BEG BEG BEG,fetch a medium purple dark ball
14367,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a yellow medium very_light key
15326,BEG BEG a ball ball dark BEG BEG BEG,go fetch a tiny yellow very_dark ball
15678,BEG BEG a ball ball dark BEG BEG BEG,go get a light grey small ball
